nom	id	theme	description
<Chaîne ANSI>.Incrémente	1000024905	gestion des chaînes de caractères (syntaxe préfixée)	Incrémente un nombre situé en fin ou début d'une chaîne de caractères.
<Chaîne ANSI>.Insère	1000024906	gestion des chaînes de caractères (syntaxe préfixée)	Insère une chaîne dans une autre chaîne de caractères à une position donnée.
<Chaîne ANSI>.Inverse	1000024908	gestion des chaînes de caractères (syntaxe préfixée)	Inverse les caractères d'une chaîne.
<Chaîne ANSI>.RegexCherche	1410090616	gestion des chaînes de caractères (syntaxe préfixée)	Cherche toutes les parties d'une chaîne de caractères qui respectent un format donné.
<Chaîne ANSI>.RegexRemplace	1410090617	gestion des chaînes de caractères (syntaxe préfixée)	Remplace toutes les parties d'une chaîne qui respectent un format donné.
<Chaîne ANSI>.RegexVérifie	1410090618	gestion des chaînes de caractères (syntaxe préfixée)	Vérifie si une chaîne respecte un format défini par une expression régulière.
<Chaîne ANSI>.Remplace	1000024890	gestion des chaînes de caractères (syntaxe préfixée)	Remplace toutes les occurrences d'un mot présent dans une chaîne par un autre mot.
<Chaîne ANSI>.SupprimeDoublon	1410087983	gestion des chaînes de caractères (syntaxe préfixée)	Supprime les doublons parmi les sous-chaînes d'une chaîne de caractères en fonction d'un ou plusieurs séparateurs.
<Chaîne ANSI>.VersNumérique	1410087984	gestion des chaînes de caractères (syntaxe préfixée)	Renvoie la valeur numérique d'une chaîne de caractères. Il est ainsi possible d'effectuer des calculs numériques sur des chaînes de caractères.
<Chaîne OEM>.OemVersAnsi	1410090334	gestion des chaînes de caractères (syntaxe préfixée)	Convertit une chaîne de caractères au format OEM (DOS) en une chaîne de caractères au format ANSI (Windows).
<Chaîne Unicode>.RegexCherche	1410090619	gestion des chaînes de caractères (syntaxe préfixée)	Cherche toutes les parties d'une chaîne de caractères qui respectent un format donné.
<Chaîne Unicode>.RegexRemplace	1410090620	gestion des chaînes de caractères (syntaxe préfixée)	Remplace toutes les parties d'une chaîne qui respectent un format donné.
<Chaîne Unicode>.RegexVérifie	1410090621	gestion des chaînes de caractères (syntaxe préfixée)	Vérifie si une chaîne respecte un format défini par une expression régulière.
<Champ>.Rectangle	1410090622		
<Champ d'affichage HTML>.DepuisEmail	1410087278	gestion des champs d'affichage HTML (syntaxe préfixée)	Importe le contenu HTML d'un email et ses images dans un champ d'affichage HTML. Les images contenues dans l'email sont également affichées dans le ch
<Champ d'affichage HTML>.ExécuteJS	1000024372		
<Champ d'affichage HTML>.ExécuteProcédureNavigateur	1000026265	gestion des champs d'affichage HTML (syntaxe préfixée)	Exécute une procédure WLangage navigateur WEBDEV dans un champ d'affichage HTML avec une page créée par WEBDEV.
<Champ d'affichage HTML>.ExécuteTraitementChamp	1000026266	gestion des champs d'affichage HTML (syntaxe préfixée)	Lance l'exécution d'un événement WLangage associé à un champ présent dans une page HTML affichée par une champ d'affichage HTML.
<Champ d'affichage HTML>.ValeurChamp	1000026268	gestion des champs d'affichage HTML (syntaxe préfixée)	Permet de connaître ou modifier un champ d'un formulaire HTML présent dans un champ d'affichage HTML.
<Champ d'affichage HTML>.ValideFormulaire	1000026311	gestion des champs d'affichage HTML (syntaxe préfixée)	Valide le formulaire d'une page HTML affichée dans un champ d'affichage HTML.
<Champ d'afichage HTML>.SurErreurJS	1000026267	gestion des champs d'affichage HTML (syntaxe préfixée)	Indique la procédure à appeler en cas d'erreur dans l'exécution du Javascript dans un champ d'affichage HTML.
<Chat IA>.AjoutLigne	1410086779	Chat IA (syntaxe préfixée)	Ajoute d'une ligne personnalisée dans la conversation d'un champ Chat IA.Attention : Cette fonction est disponible en iOS uniquement à partir de la ve
<Chat IA>.ChargeConversation	1410086776	Chat IA (syntaxe préfixée)	Charge une conversation dans un champ Chat IA.Attention : Cette fonction est disponible en iOS uniquement à partir de la version 2026 Update 2.Cette f
<Chat IA>.Demande	1410091554	Chat IA (syntaxe préfixée)	Lance une nouvelle demande dans le champ Chat IA.Attention : Cette fonction est disponible en iOS uniquement à partir de la version 2026 Update 2.Cett
<Chat IA>.RegénèreDemande	1410086775	Chat IA (syntaxe préfixée)	Lance une nouvelle demande à partir de la conversation en cours dans le champ Chat IA.Attention : Cette fonction est disponible en iOS uniquement à pa
<Chat IA>.SauveConversation	1410086774	Chat IA (syntaxe préfixée)	Sauvegarde la conversation en cours dans un champ Chat IA (en mémoire ou sous forme de fichier au format json).Attention : Cette fonction est disponib
<Chat IA>.StopDemande	1410086773		
<CodeWLangageMiseEnForme>.MetEnForme	1410090329		
<Composant>.Charge	1410089475		
<Composant>.Exécute	1410089476		
<Connexion HFSQL>.ListeHistoriqueReindexation	1410091225	gestion de HFSQL Client/Serveur (syntaxe préfixée)	Liste les différentes opérations effectuées sur les fichiers de données en cours ou celles qui ont eu lieu pendant les dernières 24 heures et sur les 
<Connexion HFSQL>.RéindexeAsynchrone	1410091221	gestion de HFSQL Client/Serveur (syntaxe préfixée)	Reconstruit l'index d'un fichier de données HFSQL Client/Serveur (fichier d'extension ".NDX"). Cette réindexation est asynchrone : elle est effectuée 
<Connexion HFSQL>.StatCalculeAsynchrone	1410091224	gestion de HFSQL Client/Serveur (syntaxe préfixée)	Réalise diverses statistiques sur les clés d'un fichier de données HFSQL Client/Serveur.
<Connexion HFSQL>.VérifieIndexAsynchrone	1410091223	gestion de HFSQL Client/Serveur (syntaxe préfixée)	Vérifie que les données contenues dans le fichier d'index (fichier .NDX) référencent correctement les données contenues dans le fichier de données HFS
<Connexion HFSQL>.VérifieMémoAsynchrone	1410091222	gestion de HFSQL Client/Serveur (syntaxe préfixée)	Vérifie l'intégrité structurelle des mémos d'un fichier de données HFSQL Client/Serveur.
<Description de TâcheParallèle>.Exécute	1000021669	gestion des tâches parallèles (syntaxe préfixée)	Déclenche l'exécution d'une tâche parallèle.
<Destination>.CopieEnreg	1000024206	gestion HFSQL (syntaxe préfixée)	Copie : le contenu de l'enregistrement en cours (chargé en mémoire) dans l'enregistrement en cours d'un fichier de données.le contenu d'une variable d
<Diagramme de Gantt>.AjouteCongé	1000021118	Gantt (syntaxe préfixée)	Déclare une nouvelle période de congés pour une ligne dans une colonne d'un champ Table (ou Table hiérarchique) de type Diagramme de Gantt.
<Diagramme de Gantt>.AjouteLien	1000021120	Gantt (syntaxe préfixée)	Crée un lien de type "Fin à Début" entre deux tâches affichées dans une colonne d'un champ Table (ou Table hiérarchique) de type Diagramme de Gantt.
<Diagramme de Gantt>.AjouteTâche	1000021121	Gantt (syntaxe préfixée)	Ajoute une tâche dans une colonne d'un champ Table (ou Table hiérarchique) de type Diagramme de Gantt.
<Diagramme de Gantt>.ChangeMode	1000021122	Gantt (syntaxe préfixée)	Modifie la période (c'est-à-dire le nombre de jours) affichée dans une colonne d'un champ Table (ou Table hiérarchique) de type Diagramme de Gantt.
<Diagramme de Gantt>.HeureAffichée	1000021123	Gantt (syntaxe préfixée)	Définit la plage horaire affichée dans une colonne d'un champ Table (ou Table hiérarchique) de type Diagramme de Gantt.
<Diagramme de Gantt>.HeureOuvrable	1000021124	Gantt (syntaxe préfixée)	Surcharge les heures ouvrables d'une ligne dans une colonne d'un champ Table (ou Table hiérarchique) de type Diagramme de Gantt.
<Diagramme de Gantt>.JourSemaineOuvré	1000021125	Gantt (syntaxe préfixée)	Indique si un jour de la semaine est ouvré dans une colonne d'un champ Table (ou Table hiérarchique) de type Diagramme de Gantt.
<Diagramme de Gantt>.ListeLien	1000021128	Gantt (syntaxe préfixée)	Liste les liens présents dans une colonne d'un champ Table (ou Table hiérarchique) de type Diagramme de Gantt.
<Diagramme de Gantt>.ListeTâche	1000021129	Gantt (syntaxe préfixée)	Renvoie : la liste des tâches comprises entre deux dates données dans une colonne de type Diagramme de Gantt, toutes les tâches d'une colonne de type 
<Diagramme de Gantt>.OrganiseTâche	1000021130	Gantt (syntaxe préfixée)	Réorganise les tâches d'un diagramme de Gantt selon les contraintes (dépendances et ressources).
<Diagramme de Gantt>.PositionDateHeure	1000021131	Gantt (syntaxe préfixée)	Paramètre le premier jour et la première heure affichés dans une colonne (d'un champ Table ou Table hiérarchique) de type Diagramme de Gantt.
<Diagramme de Gantt>.RécupèreTâche	1000021137	Gantt (syntaxe préfixée)	Récupère une tâche à partir de son identifiant dans une colonne (d'un champ Table ou Table hiérarchique) de type Diagramme de Gantt.
<Diagramme de Gantt>.SupprimeLien	1000021138	Gantt (syntaxe préfixée)	Supprime des liens dans une colonne d'un champ Table (ou Table hiérarchique) de type Diagramme de Gantt.
<Diagramme de Gantt>.SupprimeTâche	1000021139	Gantt (syntaxe préfixée)	Supprime une tâche dans une colonne d'un champ Table (ou Table hiérarchique) de type Diagramme de Gantt.
<Diagramme de Gantt>.SupprimeTout	1000021140	Gantt (syntaxe préfixée)	Supprime toutes les tâches dans une colonne d'un champ Table (ou Table hiérarchique) de type Diagramme de Gantt.
<Document>.RechercheElémentParNom	1410088861	gestion du champ Traitement de texte (syntaxe préfixée)	Recherche un élément par son nom dans l'ensemble d'un document de type Traitement de texte.
<Editeur de code>.Charge	1410090411	gestion du champ Editeur de code (syntaxe préfixée)	Charge un fichier de code WLangage dans un champ Editeur de code.
<Editeur de code>.Commente	1410090412	gestion du champ Editeur de code (syntaxe préfixée)	Commente la sélection en cours dans le champ Editeur de code. Les caractères "//" sont ajoutés devant la ligne en cours.
<Editeur de code>.Compile	1410090413	gestion du champ Editeur de code (syntaxe préfixée)	Compile le code WLangage affiché dans le champ Editeur de code et affiche les potentielles erreurs.
<Editeur de code>.Décommente	1410090414	gestion du champ Editeur de code (syntaxe préfixée)	Décommente la sélection en cours dans le champ Editeur de code. Les caractères "//" présents devant la ligne en cours sont supprimés.
<Editeur de code>.DupliqueLigne	1410090415	gestion du champ Editeur de code (syntaxe préfixée)	Duplique la ligne courante dans le champ Editeur de code.
<Editeur de code>.Exécute	1410090416	gestion du champ Editeur de code (syntaxe préfixée)	Exécute le code WLangage affiché dans le champ Editeur de code.
<Editeur de code>.Insère	1410090417	gestion du champ Editeur de code (syntaxe préfixée)	Insère une chaîne de caractères dans le champ Editeur de code.
<Editeur de code>.Recherche	1410090418	gestion du champ Editeur de code (syntaxe préfixée)	Recherche une chaîne de caractères ou une expression régulière dans le champ Editeur de code.
<Editeur de code>.RécupèreErreur	1410090419	gestion du champ Editeur de code (syntaxe préfixée)	Permet de récupérer l'erreur de compilation du code présent dans le champ Editeur de code.
<Editeur de code>.Remplace	1410090420	gestion du champ Editeur de code (syntaxe préfixée)	Recherche et remplace une chaîne de caractères dans le champ Editeur de code.
<Editeur de code>.Sauve	1410090421	gestion du champ Editeur de code (syntaxe préfixée)	Sauve le contenu d'un champ Editeur de code dans un fichier.
<Editeur de code>.SupprimeTout	1410090422	gestion du champ Editeur de code (syntaxe préfixée)	Supprime le contenu du champ Editeur de code.
<Éditeur de diagrammes>.DébutModification	1410088875	gestion des diagrammes (syntaxe préfixée)	Signale le début du regroupement d'un ensemble d'opérations sur champ Editeur de diagrammes en un seul événement (gestion du "undo/redo").
<Éditeur de diagrammes>.FinModification	1410088876	gestion des diagrammes (syntaxe préfixée)	Signale la fin du regroupement d'un ensemble d'opérations sur un champ Editeur de diagrammes en un seul événement (gestion du "undo/redo").
<Éditeur de diagrammes>.InfoXY	1410088737	gestion des diagrammes (syntaxe préfixée)	Indique la présence d'une forme à une position donnée dans le champ Editeur de diagrammes.
<Éditeur de diagrammes>.Sauve	1410088687	gestion des diagrammes (syntaxe préfixée)	Sauve un diagramme dans un fichier "diag".
<Éditeur de diagrammes>.SelectMoins	1410088688	gestion des diagrammes (syntaxe préfixée)	Désélectionne une forme dans un champ Editeur de diagrammes.
<Éditeur de diagrammes>.SelectPlus	1410088689	gestion des diagrammes (syntaxe préfixée)	Sélectionne une forme dans un champ Editeur de diagrammes.
<Editeur HTML>.DepuisEmail	1000026296	gestion du champ Editeur HTML (syntaxe préfixée)	Importe le contenu HTML d'un email et ses images dans un champ Editeur HTML. Les images contenues dans l'email sont également affichées dans le champ.
<Editeur HTML>.ExécuteJS	1000026297	gestion du champ Editeur HTML (syntaxe préfixée)	Exécute du code Javascript dans un champ Editeur HTML.
<Editeur HTML>.FormateSelection	1000026298	gestion du champ Editeur HTML (syntaxe préfixée)	Modifie le style de la sélection dans un champ Editeur HTML.
<Editeur HTML>.Insère	1000026299	gestion du champ Editeur HTML (syntaxe préfixée)	Insère du texte ou du code HTML à la position du curseur dans un champ Editeur HTML.
<Editeur HTML>.InsèreTableau	1000026300	gestion du champ Editeur HTML (syntaxe préfixée)	Insère un tableau à la position du curseur dans un champ Editeur HTML.
<Editeur HTML>.Recherche	1000026301	gestion du champ Editeur HTML (syntaxe préfixée)	Recherche une chaîne de caractères dans un champ Editeur HTML.
<Editeur HTML>.Récupère	1000026302	gestion du champ Editeur HTML (syntaxe préfixée)	Récupère en mode asynchrone la valeur d'une des propriétés d'un champ Editeur HTML.
<Editeur HTML>.RécupèreDocument	1000026304	gestion du champ Editeur HTML (syntaxe préfixée)	Récupère en mode asynchrone le document HTML en cours dans un champ Editeur HTML.
<Editeur HTML>.RécupèreSélection	1000026305	gestion du champ Editeur HTML (syntaxe préfixée)	Récupère en mode asynchrone la sélection effectuée dans un champ Editeur HTML.
<Editeur HTML>.Remplace	1000026306	gestion du champ Editeur HTML (syntaxe préfixée)	Remplace une chaîne de caractères par une autre dans un champ Editeur HTML.
<Editeur HTML>.Sélectionne	1000026307	gestion du champ Editeur HTML (syntaxe préfixée)	Sélectionne une portion de texte dans un champ Editeur HTML.
<Editeur HTML>.VersEmail	1000026308	gestion du champ Editeur HTML (syntaxe préfixée)	Exporte le contenu d'un champ Editeur HTML vers une variable de type Email (pour envoyer l'email).
<Editeur HTML>.VersPDF	1000026309	gestion du champ Editeur HTML (syntaxe préfixée)	Exporte le contenu d'un champ Editeur HTML vers un fichier PDF.
<Elément>.DemandeMiseAJourUI	1410088728	gestion des fenêtres (syntaxe préfixée)	Demande l'exécution de l'événement "Demande de mise à jour de l'affichage" de l'élément spécifié (et rend la main sans attendre l'exécution de l'événe
<Elément>.ExécuteMiseAJourUI	1410088729	gestion des fenêtres (syntaxe préfixée)	Exécute immédiatement l'événement "Demande de mise à jour de l'affichage" de l'élément spécifié.
<Etat>.InitEtatVerso	1410090633	impression (syntaxe préfixée)	Initialise les paramètres de l'état qui sera imprimé au verso d'un autre état.
<Etat>.InitRequête	1000025143	impression (syntaxe préfixée)	Initialise la requête liée à l'état (cas d'une requête paramétrée).
<Etat>.InitRequêteConnexion	1000025144	impression (syntaxe préfixée)	Initialise la requête liée à l'état.
<Etat>.InitSousEtat	1000025145	impression (syntaxe préfixée)	Initialise les paramètres d'un sous-état d'un état composite.
<Fenêtre>.ActiveGFI	1410088766	gestion des fenêtres (syntaxe préfixée)	Active ou désactive le GFI (Grisage des Fenêtres Inaccessibles) d'une fenêtre spécifique.
<Fenêtre>.AgencementEnCours	1410088841	gestion des fenêtres (syntaxe préfixée)	Renvoie l'indice de l'agencement en cours dans la fenêtre ou dans la fenêtre interne spécifiée.
<Fenêtre>.ChangeAgencement	1410088842	gestion des fenêtres (syntaxe préfixée)	Applique un agencement spécifique sur : une fenêtre. une fenêtre interne.
<Fenêtre>.DepuisFichier	1000021387	liaison (syntaxe préfixée)	Initialise automatiquement les champs d'une fenêtre (ou d'une page) avec :les valeurs des rubriques associées dans l'enregistrement en cours (chargé e
<Fenêtre>.EdActive	1000022294	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	Permet : de savoir si le mode "Modification de l'UI par l'utilisateur final" est activé dans une fenêtre (ou une fenêtre interne).d'activer ou non le 
<Fenêtre>.EdCharge	1000022292	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	Charge les modifications faites par l'utilisateur final dans une fenêtre.
<Fenêtre>.EdCréeNote	1000022301	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	Crée un champ Note repositionnable.
<Fenêtre>.EdDésélectionneTout	1000022317	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	Désélectionne tous les champs lors de la modification de l'interface par l'utilisateur final (mode "Modification de l'UI par l'utilisateur final" acti
<Fenêtre>.EdDo	1000022327	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	Exécute une action (définie par programmation) avec support du Undo/Redo.
<Fenêtre>.EdRedo	1000022328	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	Exécute la dernière action annulée lors de la modification de l'interface par l'utilisateur final (mode "Modification de l'UI par l'utilisateur final"
<Fenêtre>.EdRestaure	1000022329	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	Annule toutes les modifications effectuées par l'utilisateur final (mode "Modification de l'UI par l'utilisateur final" activé).
<Fenêtre>.EdSauve	1000022330	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	Sauve les modifications réalisées en mode "Modification de l'UI par l'utilisateur final".
<Fenêtre>.EdSelect	1000022331	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	Renvoie l'un des champs sélectionnés lors de la modification de l'interface par l'utilisateur final (mode "Modification de l'UI par l'utilisateur fina
<Fenêtre>.EdSelectMoins	1000022332	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	Dé-sélectionne un champ lors de la modification de l'interface par l'utilisateur final (mode "Modification de l'UI par l'utilisateur final" activé).
<Fenêtre>.EdSelectOccurrence	1000022333	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	Indique le nombre de champs sélectionnés lors de la modification de l'interface par l'utilisateur final (mode "Modification de l'UI par l'utilisateur 
<Fenêtre>.EdSelectPlus	1000022334	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	Sélectionne un champ lors de la modification de l'interface par l'utilisateur final (mode "Modification de l'UI par l'utilisateur final" activé).
<Fenêtre>.EdUndo	1000022335	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	Annule la dernière action effectuée lors de la modification de l'interface par l'utilisateur final (mode "Modification de l'UI par l'utilisateur final
<Fenêtre>.ExtHaut	1410088867	gestion des fenêtres (syntaxe préfixée)	Renvoie la hauteur totale d'une fenêtre.
<Fenêtre>.ExtLarg	1410090624	gestion des fenêtres (syntaxe préfixée)	Renvoie la largeur totale d'une fenêtre.
<Fenêtre>.ExtPosX	1410090628	gestion des fenêtres (syntaxe préfixée)	Renvoie la position horizontale du coin haut gauche d'une fenêtre par rapport au coin haut gauche de l'écran.
<Fenêtre>.ExtPosY	1410090625	gestion des fenêtres (syntaxe préfixée)	Renvoie la position verticale du coin haut gauche d'une fenêtre par rapport au coin haut gauche de l'écran.
<Fenêtre>.IntHaut	1410090629	gestion des fenêtres (syntaxe préfixée)	Renvoie la hauteur interne d'une fenêtre (sans la barre de titre ni le cadre).
<Fenêtre>.IntLarg	1410090626	gestion des fenêtres (syntaxe préfixée)	Renvoie la largeur interne d'une fenêtre (sans le cadre).
<Fenêtre>.IntPosX	1410088866	gestion des fenêtres (syntaxe préfixée)	Renvoie la position horizontale du coin haut gauche de la zone interne (sans le cadre ni la barre de titre) d'une fenêtre par rapport au coin haut gau
<Fenêtre>.IntPosY	1410090627	gestion des fenêtres (syntaxe préfixée)	Renvoie la position verticale du coin haut gauche de la zone interne (sans le cadre ni la barre de titre) d'une fenêtre par rapport au coin haut gauch
<Fenêtre>.Ouvre	1000023903	gestion des fenêtres (syntaxe préfixée)	Ouvre une fenêtre modale WINDEV ou WINDEV Mobile.
<Fenêtre>.OuvreAsynchrone	1410087862	gestion des fenêtres (syntaxe préfixée)	Ouvre une fenêtre dont le résultat sera récupéré via une procédure WLangage (appelée "callback").
<Fenêtre>.OuvreFille	1000023904	gestion des fenêtres (syntaxe préfixée)	Ouvre une fenêtre fille non modale.
<Fenêtre>.OuvrePopupAsynchrone	1410087873	gestion des fenêtres (syntaxe préfixée)	Ouvre une fenêtre de type popup dont le résultat sera récupéré par une procédure WLangage (également appelée "Callback").
<Fenêtre>.OuvrePopupPosition	1410087874	gestion des fenêtres (syntaxe préfixée)	Ouvre une fenêtre de type popup en précisant sa position d'ouverture et attend sa fermeture.
<Fenêtre>.OuvreSoeur	1410086669	gestion des fenêtres (syntaxe préfixée)	Ouvre une fenêtre soeur non modale.
<Fenêtre>.PaletteRécupère	1410091003	Palette (syntaxe préfixée)	Récupère la palette de la fenêtre.
<Fenêtre>.VersFichier	1000021385	liaison (syntaxe préfixée)	Initialise automatiquement :la valeur mémoire des rubriques d'un fichier de données avec la valeur des champs de la fenêtre. Les rubriques du fichier 
<Fenêtre>.VersSource	1000021386	liaison (syntaxe préfixée)	Initialise automatiquement : la valeur mémoire des rubriques d'un fichier de données avec la valeur des champs de la fenêtre.la valeur des variables W
<Fenetre interne>.ChangeFenêtreSource	1000020950		
<Graphe>.AngleDépart	1410088091	gestion des graphes (syntaxe préfixée)	Indique l'angle de départ de la première part dans un graphe de type :Secteur, Hémicycle ou Donut.Secteur multiniveau.Graphe circulaire de progrès.
<Graphe>.ComparatifPositionSérie	1000024961	gestion des graphes (syntaxe préfixée)	Fixe la position (gauche ou droite) d'une série dans un graphe de type Histogramme comparatif.
<Graphe>.CPAjouteDonnée	1410088092	gestion des graphes (syntaxe préfixée)	Ajoute une donnée à un graphe circulaire de progrès.
<Graphe>.CPSensDeRotation	1410088093	gestion des graphes (syntaxe préfixée)	Fixe le sens de rotation d'un graphe circulaire de progrès.
<Graphe>.CPValeurMaximale	1410088094	gestion des graphes (syntaxe préfixée)	Fixe la valeur maximale du graphe circulaire de progrès.
<Graphe>.HistoTypeBarre	1410090316	gestion des graphes (syntaxe préfixée)	Définit le type de barre à utiliser dans un graphe de type histogramme.
